Actual,date,FIPS,county,state
2818,2020-12-01,1001.0,Autauga,Alabama
2873,2020-12-02,1001.0,Autauga,Alabama
2893,2020-12-03,1001.0,Autauga,Alabama
2945,2020-12-04,1001.0,Autauga,Alabama
2979,2020-12-05,1001.0,Autauga,Alabama
3005,2020-12-06,1001.0,Autauga,Alabama
3043,2020-12-07,1001.0,Autauga,Alabama
3087,2020-12-08,1001.0,Autauga,Alabama
3117,2020-12-09,1001.0,Autauga,Alabama
3186,2020-12-10,1001.0,Autauga,Alabama
3233,2020-12-11,1001.0,Autauga,Alabama
3258,2020-12-12,1001.0,Autauga,Alabama
3300,2020-12-13,1001.0,Autauga,Alabama
3329,2020-12-14,1001.0,Autauga,Alabama
3426,2020-12-15,1001.0,Autauga,Alabama
3510,2020-12-16,1001.0,Autauga,Alabama
3570,2020-12-17,1001.0,Autauga,Alabama
3647,2020-12-18,1001.0,Autauga,Alabama
3698,2020-12-19,1001.0,Autauga,Alabama
3741,2020-12-20,1001.0,Autauga,Alabama
3780,2020-12-21,1001.0,Autauga,Alabama
3841,2020-12-22,1001.0,Autauga,Alabama
3889,2020-12-23,1001.0,Autauga,Alabama
3942,2020-12-24,1001.0,Autauga,Alabama
3990,2020-12-25,1001.0,Autauga,Alabama
3999,2020-12-26,1001.0,Autauga,Alabama
4029,2020-12-27,1001.0,Autauga,Alabama
4065,2020-12-28,1001.0,Autauga,Alabama
4105,2020-12-29,1001.0,Autauga,Alabama
4164,2020-12-30,1001.0,Autauga,Alabama
9051,2020-12-01,1003.0,Baldwin,Alabama
9163,2020-12-02,1003.0,Baldwin,Alabama
9341,2020-12-03,1003.0,Baldwin,Alabama
9501,2020-12-04,1003.0,Baldwin,Alabama
9626,2020-12-05,1003.0,Baldwin,Alabama
9728,2020-12-06,1003.0,Baldwin,Alabama
9821,2020-12-07,1003.0,Baldwin,Alabama
9974,2020-12-08,1003.0,Baldwin,Alabama
10087,2020-12-09,1003.0,Baldwin,Alabama
10288,2020-12-10,1003.0,Baldwin,Alabama
10489,2020-12-11,1003.0,Baldwin,Alabama
10665,2020-12-12,1003.0,Baldwin,Alabama
10806,2020-12-13,1003.0,Baldwin,Alabama
10898,2020-12-14,1003.0,Baldwin,Alabama
11061,2020-12-15,1003.0,Baldwin,Alabama
11212,2020-12-16,1003.0,Baldwin,Alabama
11364,2020-12-17,1003.0,Baldwin,Alabama
11556,2020-12-18,1003.0,Baldwin,Alabama
11722,2020-12-19,1003.0,Baldwin,Alabama
11827,2020-12-20,1003.0,Baldwin,Alabama
11952,2020-12-21,1003.0,Baldwin,Alabama
12155,2020-12-22,1003.0,Baldwin,Alabama
12321,2020-12-23,1003.0,Baldwin,Alabama
12521,2020-12-24,1003.0,Baldwin,Alabama
12666,2020-12-25,1003.0,Baldwin,Alabama
12708,2020-12-26,1003.0,Baldwin,Alabama
12825,2020-12-27,1003.0,Baldwin,Alabama
12962,2020-12-28,1003.0,Baldwin,Alabama
13172,2020-12-29,1003.0,Baldwin,Alabama
13392,2020-12-30,1003.0,Baldwin,Alabama
1204,2020-12-01,1007.0,Bibb,Alabama
1239,2020-12-02,1007.0,Bibb,Alabama
1252,2020-12-03,1007.0,Bibb,Alabama
1270,2020-12-04,1007.0,Bibb,Alabama
1283,2020-12-05,1007.0,Bibb,Alabama
1293,2020-12-06,1007.0,Bibb,Alabama
