,date,county,state,fips,cases,deaths,2015 POPULATION,Cases/Population
0,2020-12-31,Autauga,Alabama,1001.0,4190,48.0,55347.0,0.07570419354255876
1,2020-12-31,Baldwin,Alabama,1003.0,13601,161.0,203709.0,0.066766809517498
2,2020-12-31,Barbour,Alabama,1005.0,1514,32.0,26489.0,0.05715580052097097
3,2020-12-31,Bibb,Alabama,1007.0,1834,46.0,22583.0,0.08121153079750254
4,2020-12-31,Blount,Alabama,1009.0,4641,63.0,57673.0,0.08047093093822066
5,2020-12-31,Bullock,Alabama,1011.0,859,22.0,10696.0,0.08031039640987285
6,2020-12-31,Butler,Alabama,1013.0,1508,45.0,20154.0,0.07482385630644041
7,2020-12-31,Calhoun,Alabama,1015.0,9494,156.0,115620.0,0.08211382113821138
8,2020-12-31,Chambers,Alabama,1017.0,2341,63.0,34123.0,0.0686047533921402
9,2020-12-31,Cherokee,Alabama,1019.0,1414,22.0,25859.0,0.054681155497118994
10,2020-12-31,Chilton,Alabama,1021.0,2970,54.0,43943.0,0.06758755660742326
11,2020-12-31,Choctaw,Alabama,1023.0,490,22.0,13170.0,0.03720577069096431
12,2020-12-31,Clarke,Alabama,1025.0,2390,25.0,24675.0,0.09685916919959472
13,2020-12-31,Clay,Alabama,1027.0,1141,34.0,13555.0,0.08417558096643304
14,2020-12-31,Cleburne,Alabama,1029.0,1026,16.0,15018.0,0.06831801837794646
15,2020-12-31,Coffee,Alabama,1031.0,3594,38.0,51211.0,0.07018023471519791
16,2020-12-31,Colbert,Alabama,1033.0,4660,60.0,54354.0,0.0857342605879972
17,2020-12-31,Conecuh,Alabama,1035.0,837,17.0,12672.0,0.06605113636363637
18,2020-12-31,Coosa,Alabama,1037.0,517,7.0,10724.0,0.048209623274897424
19,2020-12-31,Covington,Alabama,1039.0,2913,40.0,37835.0,0.07699220298665257
20,2020-12-31,Crenshaw,Alabama,1041.0,954,36.0,13963.0,0.0683234261978085
21,2020-12-31,Cullman,Alabama,1043.0,7079,78.0,82005.0,0.08632400463386379
22,2020-12-31,Dale,Alabama,1045.0,3325,63.0,49565.0,0.06708362755977
23,2020-12-31,Dallas,Alabama,1047.0,2769,43.0,41131.0,0.06732148501130535
24,2020-12-31,DeKalb,Alabama,1049.0,6900,61.0,71130.0,0.09700548291859974
25,2020-12-31,Elmore,Alabama,1051.0,6435,83.0,81468.0,0.07898806893504198
26,2020-12-31,Escambia,Alabama,1053.0,2661,34.0,37789.0,0.07041731720871153
27,2020-12-31,Etowah,Alabama,1055.0,10031,94.0,103057.0,0.09733448479967396
28,2020-12-31,Fayette,Alabama,1057.0,1430,19.0,16759.0,0.0853272868309565
29,2020-12-31,Franklin,Alabama,1059.0,3270,37.0,31696.0,0.10316759212518929
30,2020-12-31,Geneva,Alabama,1061.0,1677,20.0,26777.0,0.06262837509803189
31,2020-12-31,Greene,Alabama,1063.0,672,20.0,8479.0,0.07925462908361836
32,2020-12-31,Hale,Alabama,1065.0,1440,33.0,15068.0,0.09556676400318556
33,2020-12-31,Henry,Alabama,1067.0,1247,8.0,17221.0,0.07241159049997097
34,2020-12-31,Houston,Alabama,1069.0,7279,64.0,104173.0,0.06987415165157958
35,2020-12-31,Jackson,Alabama,1071.0,5097,34.0,52419.0,0.09723573513420707
36,2020-12-31,Jefferson,Alabama,1073.0,52339,697.0,660367.0,0.0792574432096092
37,2020-12-31,Lamar,Alabama,1075.0,1056,15.0,13886.0,0.0760478179461328
38,2020-12-31,Lauderdale,Alabama,1077.0,6478,70.0,92596.0,0.06995982547842239
39,2020-12-31,Lawrence,Alabama,1079.0,2044,42.0,33115.0,0.061724294126528766
40,2020-12-31,Lee,Alabama,1081.0,10320,75.0,156993.0,0.0657354149548069
41,2020-12-31,Limestone,Alabama,1083.0,6822,58.0,91663.0,0.07442479517362513
42,2020-12-31,Lowndes,Alabama,1085.0,945,32.0,10458.0,0.09036144578313253
43,2020-12-31,Macon,Alabama,1087.0,999,30.0,19105.0,0.05228997644595656
44,2020-12-31,Madison,Alabama,1089.0,22197,178.0,353089.0,0.06286516997131035
45,2020-12-31,Marengo,Alabama,1091.0,1793,26.0,20028.0,0.08952466546834431
46,2020-12-31,Marion,Alabama,1093.0,2087,43.0,30168.0,0.06917926279501459
47,2020-12-31,Marshall,Alabama,1095.0,9189,86.0,94725.0,0.09700712589073635
48,2020-12-31,Mobile,Alabama,1097.0,25858,506.0,415395.0,0.062249184511127965
49,2020-12-31,Monroe,Alabama,1099.0,1215,11.0,21673.0,0.05606053615097126
50,2020-12-31,Montgomery,Alabama,1101.0,16116,276.0,226519.0,0.07114634975432524
51,2020-12-31,Morgan,Alabama,1103.0,10627,87.0,119565.0,0.08888052523731861
52,2020-12-31,Perry,Alabama,1105.0,867,10.0,9652.0,0.08982594280978036
53,2020-12-31,Pickens,Alabama,1107.0,1734,26.0,20864.0,0.08310966257668712
54,2020-12-31,Pike,Alabama,1109.0,2023,23.0,33046.0,0.0612176965442111
55,2020-12-31,Randolph,Alabama,1111.0,1245,30.0,22696.0,0.054855481142051465
56,2020-12-31,Russell,Alabama,1113.0,2793,6.0,59660.0,0.04681528662420382
57,2020-12-31,Shelby,Alabama,1117.0,15668,103.0,208713.0,0.0750695931734008
58,2020-12-31,St. Clair,Alabama,1115.0,6467,73.0,87074.0,0.07427016101247215
59,2020-12-31,Sumter,Alabama,1119.0,849,24.0,13103.0,0.06479432191101274
60,2020-12-31,Talladega,Alabama,1121.0,5165,75.0,80862.0,0.0638742549034157
61,2020-12-31,Tallapoosa,Alabama,1123.0,2368,98.0,40844.0,0.05797669180295759
62,2020-12-31,Tuscaloosa,Alabama,1125.0,18468,218.0,203976.0,0.09054006353688669
63,2020-12-31,Walker,Alabama,1127.0,5259,138.0,65294.0,0.08054338836646553
64,2020-12-31,Washington,Alabama,1129.0,1184,24.0,16804.0,0.07045941442513687
65,2020-12-31,Wilcox,Alabama,1131.0,883,19.0,11059.0,0.07984447056695904
66,2020-12-31,Winston,Alabama,1133.0,1968,30.0,23877.0,0.08242241487624073
67,2020-12-31,Aleutians East Borough,Alaska,2013.0,38,0.0,3341.0,0.011373840167614486
68,2020-12-31,Aleutians West Census Area,Alaska,2016.0,197,0.0,5702.0,0.03454928095405121
69,2020-12-31,Anchorage,Alaska,2020.0,22820,118.0,298695.0,0.0763990023267882
70,2020-12-31,Bethel Census Area,Alaska,2050.0,2427,9.0,17946.0,0.1352390504847877
71,2020-12-31,Denali Borough,Alaska,2068.0,59,0.0,1919.0,0.030745179781136008
72,2020-12-31,Dillingham Census Area,Alaska,2070.0,121,1.0,4997.0,0.024214528717230337
73,2020-12-31,Fairbanks North Star Borough,Alaska,2090.0,4900,19.0,99631.0,0.049181479659945196
74,2020-12-31,Haines Borough,Alaska,2100.0,20,0.0,2534.0,0.007892659826361484
75,2020-12-31,Juneau City and Borough,Alaska,2110.0,1030,3.0,32756.0,0.031444620832824524
76,2020-12-31,Kenai Peninsula Borough,Alaska,2122.0,3604,15.0,58059.0,0.06207478599355828
77,2020-12-31,Ketchikan Gateway Borough,Alaska,2130.0,236,0.0,13709.0,0.017214968269020352
78,2020-12-31,Kodiak Island Borough,Alaska,2150.0,912,2.0,13889.0,0.06566347469220246
79,2020-12-31,Matanuska-Susitna Borough,Alaska,2170.0,6353,16.0,101095.0,0.06284188139868441
80,2020-12-31,Nome Census Area,Alaska,2180.0,275,0.0,9846.0,0.027930123908186066
81,2020-12-31,North Slope Borough,Alaska,2185.0,798,2.0,9687.0,0.08237844533911427
82,2020-12-31,Northwest Arctic Borough,Alaska,2188.0,401,0.0,7752.0,0.05172858617131063
83,2020-12-31,Petersburg Borough,Alaska,2195.0,27,0.0,3177.0,0.0084985835694051
84,2020-12-31,Prince of Wales-Hyder Census Area,Alaska,2198.0,67,1.0,6341.0,0.01056615675760921
85,2020-12-31,Sitka City and Borough,Alaska,2220.0,266,0.0,8863.0,0.030012411147466996
86,2020-12-31,Skagway Municipality,Alaska,2230.0,16,0.0,1057.0,0.015137180700094607
87,2020-12-31,Southeast Fairbanks Census Area,Alaska,2240.0,406,3.0,6839.0,0.0593654042988741
88,2020-12-31,Valdez-Cordova Census Area,Alaska,2261.0,341,2.0,9362.0,0.03642384105960265
89,2020-12-31,Wrangell City and Borough,Alaska,2275.0,24,0.0,2382.0,0.010075566750629723
90,2020-12-31,Yukon-Koyukuk Census Area,Alaska,2290.0,209,4.0,5533.0,0.03777335984095427
91,2020-12-31,Apache,Arizona,4001.0,7438,237.0,71474.0,0.10406581414220556
92,2020-12-31,Cochise,Arizona,4003.0,7480,130.0,126427.0,0.05916457718683509
93,2020-12-31,Coconino,Arizona,4005.0,11126,210.0,139097.0,0.07998734695931616
94,2020-12-31,Gila,Arizona,4007.0,4517,135.0,53159.0,0.08497150059256194
95,2020-12-31,Graham,Arizona,4009.0,3228,51.0,37666.0,0.08570063186959061
96,2020-12-31,Greenlee,Arizona,4011.0,400,4.0,9529.0,0.0419771224682548
97,2020-12-31,La Paz,Arizona,4012.0,1464,35.0,20152.0,0.07264787614132592
98,2020-12-31,Maricopa,Arizona,4013.0,322449,5125.0,4167947.0,0.07736398759389215
99,2020-12-31,Mohave,Arizona,4015.0,12573,344.0,204737.0,0.061410492485481374
100,2020-12-31,Navajo,Arizona,4017.0,11296,342.0,108277.0,0.10432501824025417
101,2020-12-31,Pima,Arizona,4019.0,69522,1064.0,1010025.0,0.06883195960496027
102,2020-12-31,Pinal,Arizona,4021.0,27649,367.0,406584.0,0.06800316785707258
103,2020-12-31,Santa Cruz,Arizona,4023.0,6002,98.0,46461.0,0.12918361636641484
104,2020-12-31,Yavapai,Arizona,4025.0,11319,218.0,222255.0,0.05092798812175204
105,2020-12-31,Yuma,Arizona,4027.0,27366,519.0,204275.0,0.13396646677273283
106,2020-12-31,Arkansas,Arkansas,5001.0,1314,30.0,18433.0,0.07128519503065155
107,2020-12-31,Ashley,Arkansas,5003.0,1273,21.0,20838.0,0.061090315769267683
108,2020-12-31,Baxter,Arkansas,5005.0,2065,71.0,41053.0,0.050300830633571235
109,2020-12-31,Benton,Arkansas,5007.0,17758,264.0,249672.0,0.07112531641513666
110,2020-12-31,Boone,Arkansas,5009.0,2571,68.0,37222.0,0.06907205416151738
111,2020-12-31,Bradley,Arkansas,5011.0,940,11.0,11094.0,0.0847304849468181
112,2020-12-31,Calhoun,Arkansas,5013.0,234,1.0,5229.0,0.04475043029259897
113,2020-12-31,Carroll,Arkansas,5015.0,2073,30.0,27704.0,0.07482673982096448
114,2020-12-31,Chicot,Arkansas,5017.0,1410,30.0,11027.0,0.1278679604606874
115,2020-12-31,Clark,Arkansas,5019.0,1371,21.0,22633.0,0.060575266204215085
116,2020-12-31,Clay,Arkansas,5021.0,1317,30.0,15109.0,0.0871665894499967
117,2020-12-31,Cleburne,Arkansas,5023.0,1236,38.0,25467.0,0.04853339615973613
118,2020-12-31,Cleveland,Arkansas,5025.0,571,17.0,8311.0,0.0687041270605222
119,2020-12-31,Columbia,Arkansas,5027.0,1567,41.0,24114.0,0.06498299742887949
120,2020-12-31,Conway,Arkansas,5029.0,1306,16.0,21019.0,0.06213425947951853
121,2020-12-31,Craighead,Arkansas,5031.0,10077,136.0,104354.0,0.0965655365390881
122,2020-12-31,Crawford,Arkansas,5033.0,4451,58.0,61703.0,0.07213587669967425
123,2020-12-31,Crittenden,Arkansas,5035.0,4319,73.0,48963.0,0.08820946428936136
124,2020-12-31,Cross,Arkansas,5037.0,1394,36.0,17284.0,0.08065262670678083
125,2020-12-31,Dallas,Arkansas,5039.0,482,11.0,7604.0,0.063387690689111
126,2020-12-31,Desha,Arkansas,5041.0,953,11.0,11965.0,0.07964897618052653
127,2020-12-31,Drew,Arkansas,5043.0,1448,19.0,18778.0,0.07711151347321334
128,2020-12-31,Faulkner,Arkansas,5045.0,7618,92.0,121552.0,0.06267276556535474
129,2020-12-31,Franklin,Arkansas,5047.0,1088,25.0,17702.0,0.061461981696983393
130,2020-12-31,Fulton,Arkansas,5049.0,884,36.0,12204.0,0.07243526712553261
131,2020-12-31,Garland,Arkansas,5051.0,5782,153.0,97177.0,0.05949967584922358
132,2020-12-31,Grant,Arkansas,5053.0,1071,12.0,18102.0,0.05916473317865429
133,2020-12-31,Greene,Arkansas,5055.0,4431,51.0,44196.0,0.10025794189519413
134,2020-12-31,Hempstead,Arkansas,5057.0,1220,11.0,22084.0,0.05524361528708567
135,2020-12-31,Hot Spring,Arkansas,5059.0,3636,55.0,33426.0,0.10877759827679052
136,2020-12-31,Howard,Arkansas,5061.0,1106,18.0,13300.0,0.08315789473684211
137,2020-12-31,Independence,Arkansas,5063.0,2751,93.0,37052.0,0.07424700421029903
138,2020-12-31,Izard,Arkansas,5065.0,1298,13.0,13445.0,0.09654146522870956
139,2020-12-31,Jackson,Arkansas,5067.0,2821,22.0,17338.0,0.1627061944860999
140,2020-12-31,Jefferson,Arkansas,5069.0,6718,127.0,71565.0,0.09387270313700831
141,2020-12-31,Johnson,Arkansas,5071.0,1823,20.0,26141.0,0.06973719444550706
142,2020-12-31,Lafayette,Arkansas,5073.0,342,4.0,6996.0,0.04888507718696398
143,2020-12-31,Lawrence,Arkansas,5075.0,1574,35.0,16779.0,0.09380773586030157
144,2020-12-31,Lee,Arkansas,5077.0,1430,26.0,9650.0,0.14818652849740932
145,2020-12-31,Lincoln,Arkansas,5079.0,2820,24.0,13820.0,0.2040520984081042
146,2020-12-31,Little River,Arkansas,5081.0,821,38.0,12472.0,0.06582745349583066
147,2020-12-31,Logan,Arkansas,5083.0,1419,11.0,21714.0,0.06534954407294832
148,2020-12-31,Lonoke,Arkansas,5085.0,4133,79.0,71645.0,0.05768720776048573
149,2020-12-31,Madison,Arkansas,5087.0,1025,12.0,15767.0,0.0650091964229086
150,2020-12-31,Marion,Arkansas,5089.0,629,24.0,16185.0,0.038863144887241276
151,2020-12-31,Miller,Arkansas,5091.0,2749,25.0,43908.0,0.06260818074155051
152,2020-12-31,Mississippi,Arkansas,5093.0,4393,94.0,43738.0,0.10043897754812749
153,2020-12-31,Monroe,Arkansas,5095.0,475,7.0,7399.0,0.06419786457629409
154,2020-12-31,Montgomery,Arkansas,5097.0,492,18.0,8970.0,0.0548494983277592
155,2020-12-31,Nevada,Arkansas,5099.0,594,20.0,8558.0,0.06940874035989718
156,2020-12-31,Newton,Arkansas,5101.0,553,24.0,7913.0,0.06988499936812839
157,2020-12-31,Ouachita,Arkansas,5103.0,1370,27.0,24358.0,0.05624435503735939
158,2020-12-31,Perry,Arkansas,5105.0,438,5.0,10189.0,0.04298753557758367
159,2020-12-31,Phillips,Arkansas,5107.0,1264,25.0,19513.0,0.06477732793522267
160,2020-12-31,Pike,Arkansas,5109.0,685,10.0,10824.0,0.06328529194382852
161,2020-12-31,Poinsett,Arkansas,5111.0,2406,62.0,24040.0,0.10008319467554076
162,2020-12-31,Polk,Arkansas,5113.0,1255,42.0,20216.0,0.0620795409576573
163,2020-12-31,Pope,Arkansas,5115.0,5448,58.0,63390.0,0.08594415522953147
164,2020-12-31,Prairie,Arkansas,5117.0,545,16.0,8291.0,0.06573392835604873
165,2020-12-31,Pulaski,Arkansas,5119.0,24662,390.0,392664.0,0.06280687814518265
166,2020-12-31,Randolph,Arkansas,5121.0,1455,42.0,17469.0,0.08329040013738623
167,2020-12-31,Saline,Arkansas,5125.0,7563,104.0,117460.0,0.06438787672399114
168,2020-12-31,Scott,Arkansas,5127.0,588,11.0,10513.0,0.05593075240178826
169,2020-12-31,Searcy,Arkansas,5129.0,503,11.0,7869.0,0.06392171813445165
170,2020-12-31,Sebastian,Arkansas,5131.0,9514,156.0,127780.0,0.0744560964157145
171,2020-12-31,Sevier,Arkansas,5133.0,2079,20.0,17290.0,0.12024291497975709
172,2020-12-31,Sharp,Arkansas,5135.0,1134,32.0,16912.0,0.06705298013245033
173,2020-12-31,St. Francis,Arkansas,5123.0,2728,20.0,26589.0,0.10259881906051374
174,2020-12-31,Stone,Arkansas,5137.0,765,27.0,12456.0,0.06141618497109826
175,2020-12-31,Union,Arkansas,5139.0,2428,73.0,40144.0,0.060482263850139495
176,2020-12-31,Van Buren,Arkansas,5141.0,743,8.0,16771.0,0.044302665315127304
177,2020-12-31,Washington,Arkansas,5143.0,21420,222.0,225477.0,0.09499860296172115
178,2020-12-31,White,Arkansas,5145.0,4748,69.0,79161.0,0.05997903007794242
179,2020-12-31,Woodruff,Arkansas,5147.0,362,2.0,6741.0,0.05370123127132473
180,2020-12-31,Yell,Arkansas,5149.0,2390,42.0,21713.0,0.11007230691290931
181,2020-12-31,Alameda,California,6001.0,51611,657.0,1638215.0,0.03150441181407813
182,2020-12-31,Alpine,California,6003.0,65,0.0,1110.0,0.05855855855855856
183,2020-12-31,Amador,California,6005.0,2417,24.0,37001.0,0.06532255884976082
184,2020-12-31,Butte,California,6007.0,7390,96.0,225411.0,0.0327845579851915
185,2020-12-31,Calaveras,California,6009.0,1131,22.0,44828.0,0.025229767109842063
186,2020-12-31,Colusa,California,6011.0,1351,8.0,21482.0,0.06288986127921051
187,2020-12-31,Contra Costa,California,6013.0,40697,335.0,1126745.0,0.03611908639488083
188,2020-12-31,Del Norte,California,6015.0,760,2.0,27254.0,0.027885814926249357
189,2020-12-31,El Dorado,California,6017.0,5590,22.0,184452.0,0.0303059874655737
190,2020-12-31,Fresno,California,6019.0,65400,646.0,974861.0,0.06708648720176517
191,2020-12-31,Glenn,California,6021.0,1458,14.0,28017.0,0.05203983295856087
192,2020-12-31,Humboldt,California,6023.0,1764,22.0,135727.0,0.012996677153403522
193,2020-12-31,Imperial,California,6025.0,22267,419.0,180191.0,0.1235744293555172
194,2020-12-31,Inyo,California,6027.0,571,20.0,18260.0,0.03127053669222344
195,2020-12-31,Kern,California,6029.0,68969,512.0,882176.0,0.07818054447185142
196,2020-12-31,Kings,California,6031.0,16114,110.0,150965.0,0.10673997284138707
197,2020-12-31,Lake,California,6033.0,1817,23.0,64591.0,0.02813085414376616
198,2020-12-31,Lassen,California,6035.0,4691,9.0,31345.0,0.1496570425905248
199,2020-12-31,Los Angeles,California,6037.0,770915,10345.0,10170292.0,0.07580067514285725
200,2020-12-31,Madera,California,6039.0,10491,117.0,154998.0,0.06768474431928154
201,2020-12-31,Marin,California,6041.0,9800,139.0,261221.0,0.037516126191998345
202,2020-12-31,Mariposa,California,6043.0,252,4.0,17531.0,0.01437453653528036
