,FIPS,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,county,state
0,1001.0,0.0730430346908071,-0.0371538291186747,,,-0.187285409812628,0.4228667691761238,Autauga,Alabama
1,1003.0,-0.0405756533833733,0.1039051498498728,-0.2367963340962293,-0.2224612213611206,-0.077720396518776,0.5150454698864527,Baldwin,Alabama
2,1005.0,,,,,-0.0472866512112278,,Barbour,Alabama
3,1007.0,,,,,-0.1674659994336073,,Bibb,Alabama
4,1009.0,-0.2510350394691801,,,,-0.3183870321567258,0.5156190338508859,Blount,Alabama
5,1011.0,,,,,-0.0188385129312571,,Bullock,Alabama
6,1013.0,,,,,-0.190544352614168,,Butler,Alabama
7,1015.0,0.1209555839861746,0.3293626718811813,,,-0.155235047357651,0.4876199120520636,Calhoun,Alabama
8,1017.0,0.0575383900280332,0.0946677601849594,,,-0.1195853777725134,,Chambers,Alabama
9,1019.0,,,,,-0.0879003631490269,,Cherokee,Alabama
10,1021.0,-0.1085152579767631,-0.0038184797722132,,-0.2716209701574774,-0.1806571987838109,0.4947726253683369,Chilton,Alabama
11,1023.0,,,,,-0.0533591034784204,,Choctaw,Alabama
12,1025.0,,,,,-0.1191283233574846,,Clarke,Alabama
13,1027.0,,,,,-0.2264631104815045,,Clay,Alabama
14,1029.0,,,,,,,Cleburne,Alabama
15,1031.0,0.0901044306199504,0.1130028320184304,,,-0.1318455517824463,0.4287020483300742,Coffee,Alabama
16,1033.0,0.0216061346320546,0.0552810196527965,,-0.1329996591137172,-0.3284584425474615,0.5315241665772883,Colbert,Alabama
17,1035.0,,,,0.0720837467010522,,,Conecuh,Alabama
18,1037.0,,,,,-0.2022568730513854,,Coosa,Alabama
19,1039.0,-0.108670665828914,-0.0349069930554053,,,-0.0447536283678026,,Covington,Alabama
20,1041.0,,,,,-0.2225776607854037,,Crenshaw,Alabama
21,1043.0,-0.2767658587712744,0.0138676283715326,,-0.3107966244939723,-0.2777438256031386,0.5196786819272831,Cullman,Alabama
22,1045.0,-0.1077609375564077,-0.2531231344092718,,,-0.1706019543587344,0.4438530174593763,Dale,Alabama
23,1047.0,0.0953855774480249,,,,-0.2483752607014389,,Dallas,Alabama
24,1049.0,-0.1004830961825792,0.0207168002531799,,,-0.0984429546602111,0.510693878210935,DeKalb,Alabama
25,1051.0,0.1645756697572735,0.2291936423279808,,,-0.16300678281068,0.4330644186528229,Elmore,Alabama
26,1053.0,0.034759414086137,0.0562725589616436,,,-0.1376889043502578,,Escambia,Alabama
27,1055.0,0.1927341790350098,0.0702975708405438,,,-0.2209246540900782,0.5332121855522636,Etowah,Alabama
28,1057.0,,,,,-0.1270327171215291,,Fayette,Alabama
29,1059.0,,,,,-0.1093788068327193,,Franklin,Alabama
30,1061.0,,,,,-0.0595515464851265,,Geneva,Alabama
31,1063.0,,,,-0.5095111072879834,,,Greene,Alabama
32,1065.0,,,,,-0.2055320913256418,,Hale,Alabama
33,1067.0,,,,,-0.1830895175129109,,Henry,Alabama
34,1069.0,0.2351722837612267,0.0148331150439988,,-0.14382870104953,-0.119051781479013,0.4982811376286459,Houston,Alabama
35,1071.0,-0.1019187506152912,,,,-0.139026702718943,0.497913045921189,Jackson,Alabama
36,1073.0,0.01335545155762,0.1588593184688895,,-0.0051456814058151,-0.1329425859586581,0.3370567905662487,Jefferson,Alabama
37,1075.0,,,,,-0.2560491863744532,,Lamar,Alabama
38,1077.0,0.153001726345623,0.3293176194727968,,,-0.2688424031846155,0.5590371832276809,Lauderdale,Alabama
39,1079.0,,,,,-0.138436759852736,,Lawrence,Alabama
